kata,kategori,pengucapan,penjelasan,arti
pizza,"food_drink, noun",ˈpēt-sə,Hidangan yang biasanya dibuat dari adonan roti yang diratakan dengan campuran gurih biasanya termasuk tomat dan keju dan seringkali topping lainnya dan dipanggang - juga dipenuhi pai pizza,pizza
borscht,"food_drink, noun",ˈbȯrsh(t),Sup yang dibuat terutama dari bit dan sering disajikan panas atau dingin dengan krim asam,borscht
horchata,"food_drink, noun",(h)ȯr-ˈchä-tə,Minuman manis dingin yang terbuat dari nasi tanah atau almond dan biasanya perasa seperti kayu manis atau vanilla,horchata
lasagna,"food_drink, noun",lə-ˈzän-yə,Pasta dalam bentuk pita yang luas sering,lasagna
black tea,"food_drink, noun",black tea,Teh yang berwarna gelap dari oksidasi lengkap daun sebelum ditembakkan,teh hitam
bloody mary,"food_drink, noun",bloody mary,Koktail yang pada dasarnya terdiri dari vodka dan biasanya jus tomat dibumbui,bloody mary
moscow mule,"food_drink, noun",moscow mule,"Koktail yang terbuat dari vodka, bir jahe, dan jus jeruk nipis dan biasanya disajikan dalam cangkir tembaga",moskow mule
paella,"food_drink, noun",pä-ˈā-yə,"Hidangan beraroma safron yang mengandung nasi, daging, makanan laut, dan sayuran",paella
old fashioned,"food_drink, adjective",ˈōl(d)-ˈfa-shənd,"Dari, berkaitan dengan, atau karakteristik dari era masa lalu",kuno
steamer,"umum, noun",ˈstē-mər,Kapal di mana artikel menjadi sasaran uap,kapal uap
trash can,"umum, noun",trash can,Wadah yang menyimpan bahan yang telah dibuang,tempat sampah
throw pillows,"umum, noun",throw pillow,Bantal kecil yang digunakan terutama sebagai aksesori dekoratif,lempar bantal
shaving cream,"umum, noun",shaving cream,Krim atau busa khusus yang tersebar di wajah atau bagian tubuh lain sebelum bercukur,krim cukur
coat hangers,"umum, noun",coat hanger,Perangkat yang berbentuk seperti garis besar bahu seseorang dan di mana pakaian dapat digantung,gantungan jas
comforter,"umum, noun",ˈkəm(p)-fər-tər,Roh kudus,penghibur
comb,"umum, noun",ˈkōm,"Instrumen bergigi yang digunakan terutama untuk menyesuaikan, membersihkan, atau membatasi rambut",sisir
sofa,"umum, noun",ˈsō-fə,Kursi berlapis berlapis panjang biasanya dengan lengan dan punggung dan sering dapat dikonversi menjadi tempat tidur,sofa
bath salts,"umum, plural noun",bath salts,Senyawa kristal yang biasanya berwarna untuk air mandi wangi dan pelunakan,garam mandi
hangers,"umum, noun",ˈhaŋ-ər,Salah satu yang menggantung atau menyebabkan digantung atau digantung,gantungan
pan,"umum, noun",ˈpan,"Wadah yang biasanya luas, dangkal, dan terbuka untuk penggunaan domestik (seperti untuk memasak)",panci
smoke detector,"umum, noun",smoke detector,Alarm yang diaktifkan secara otomatis saat mendeteksi asap - disebut juga alarm asap,pendeteksi asap
floor lamp,"umum, noun",floor lamp,Lampu tinggi yang berdiri di lantai,lampu lantai
pillowcase,"umum, noun",ˈpi-lə-ˌkās,Penutup yang dapat dilepas untuk bantal,sarung bantal
bookshelf,"umum, noun",ˈbu̇k-ˌshelf,Rak terbuka untuk memegang buku,rak buku
ladle,"umum, noun",ˈlā-dᵊl,Sendok bergantung panjang yang diikat dalam digunakan terutama untuk mencelupkan dan menyampaikan cairan,sendok
quilt,"umum, noun",ˈkwilt,Selimut tempat tidur dengan dua lapisan kain yang diisi dengan bantalan (seperti turun atau memukul) dipegang di tempatnya dengan ikatan atau desain yang dijahit,selimut
toothbrush,"umum, noun",ˈtüth-ˌbrəsh,Sikat untuk membersihkan gigi,sikat gigi
surge protector,"umum, noun",surge protector,Perangkat yang mencegah lonjakan listrik merusak peralatan elektronik,pelindung lonjakan
dish rack,"umum, noun",dish rack,Rak yang dipenuhi oleh hidangan sehingga bisa mengering,rak piring
shower cap,"umum, noun",shower cap,Tutup tahan air yang dikenakan saat mandi,topi mandi
hairbrush,"umum, noun",ˈher-ˌbrəsh,Kuas untuk rambut,sikat rambut
fan,"umum, noun",ˈfan,Salah satu perangkat untuk gandum menampi,penggemar
sponges,"umum, noun",ˈspənj,Massa berpori elastis dari serat terangsang interlacing yang membentuk kerangka internal berbagai hewan laut (phylum porifera) dan mampu ketika dibasahi untuk menyerap air,spons
coffee machine,"umum, noun",coffee machine,Mesin dari mana seseorang dapat membeli secangkir kopi,mesin kopi
mattress,"umum, noun",ˈma-trəs,"Kotak kain yang diisi dengan bahan yang tangguh (seperti kapas, rambut, bulu, karet busa, atau susunan mata air melingkar) digunakan sendiri sebagai tempat tidur atau di atas tempat tidur",matras
clothesline,"umum, noun",ˈklōz-ˌlīn,Garis (seperti kabel) di mana pakaian dapat digantung sampai kering,jemuran
glass,"umum, noun",ˈglas,Salah satu dari berbagai bahan amorf yang terbentuk dari leleh dengan pendinginan hingga kekakuan tanpa kristalisasi: seperti,kaca
first aid kit,"umum, noun",first aid kit,Satu set bahan dan alat yang digunakan untuk memberikan perawatan darurat kepada orang yang sakit atau terluka,pertolongan pertama
fork,"umum, noun",ˈfȯrk,"Alat dengan dua atau lebih cabang yang digunakan terutama untuk mengambil (seperti dalam makan), pitching, atau menggali",garpu
bathrobe,"umum, noun",ˈbath-ˌrōb,Jubah serap yang sering dikenakan sebelum dan sesudah mandi atau sebagai gaun ganti,mantel mandi
coasters,"umum, noun",ˈkō-stər,Satu yang meluncur: seperti,costers
security camera,"umum, noun",security camera,Kamera (terutama kamera video) yang biasanya dipasang secara permanen dan yang digunakan untuk memantau aktivitas di suatu daerah (seperti tempat parkir atau pintu masuk gedung),kamera keamanan
oven,"umum, noun",ˈə-vən,"Ruang yang digunakan untuk memanggang, memanaskan, atau mengeringkan",oven
dresser,"umum, noun",ˈdre-sər,Meja atau bufet untuk menyiapkan dan menyajikan makanan,lemari
power strip,"umum, noun",power strip,Perangkat listrik yang terdiri dari kabel dengan steker di satu ujung dan beberapa outlet di sisi lain,strip daya
nightstand,"umum, noun",ˈnīt-ˌstand,Meja malam,nakas
batteries,"umum, noun",ˈba-t(ə-)rē,Tindakan mengalahkan seseorang atau sesuatu dengan pukulan berturut -turut: tindakan pemukulan,baterai
bedspread,"umum, noun",ˈbed-ˌspred,Penutup kain hias yang biasanya untuk tempat tidur,penutup tempat tidur
flashlight,"umum, noun",ˈflash-ˌlīt,Lampu listrik portabel yang dioperasikan dengan baterai kecil,senter
alarm clock,"umum, noun",alarm clock,Jam yang dapat diatur untuk membunyikan alarm pada waktu yang diinginkan,jam alarm
razor,"umum, noun",ˈrā-zər,Instrumen pemotongan yang tajam untuk mencukur atau memotong rambut,pisau cukur
pot,"umum, noun",ˈpät,Wadah logam atau tanah bundar yang biasanya digunakan terutama untuk keperluan rumah tangga (seperti dalam memasak atau untuk menahan cairan atau menanam tanaman);juga: salah satu dari berbagai kapal teknis atau industri atau lampiran yang menyerupai atau disamakan dengan pot rumah tangga,pot
dustpan,"umum, noun",ˈdəs(t)-ˌpan,Wajan berbentuk sekop untuk menyapu,dustpan
iron,"umum, noun",ˈī(-ə)rn,"Sebuah elemen logam magnetik magnetik magnetik yang mudah ditempa perak yang mudah berkarat di udara lembab, terjadi dalam bentuk murni dalam meteorit dan dikombinasikan di sebagian besar batuan beku, adalah elemen yang paling melimpah di bumi dengan massa, dan sangat penting untuk proses biologis",besi
vacuum cleaner,"umum, noun",vacuum cleaner,"Alat rumah tangga untuk lantai pembersih, karpet, pelapis, dll. dengan hisap - disebut juga penyapu vakum",penyedot debu
labels,"umum, noun",ˈlā-bəl,Slip (seperti kertas atau kain) bertuliskan dan ditempelkan pada sesuatu untuk identifikasi atau deskripsi,label
toothpaste,"umum, noun",ˈtüth-ˌpāst,Pasta untuk membersihkan gigi,pasta gigi
step ladder,"umum, noun",ˈstep-ˌla-dər,Tangga yang memiliki langkah datar yang luas dan dua pasang kaki yang dihubungkan oleh engsel di bagian atas dan yang terbuka di bagian bawah untuk menjadi berdiri bebas,anak tangga
file cabinet,"umum, noun",file cabinet,Sepotong furnitur yang digunakan untuk menyimpan dokumen sehingga dapat ditemukan dengan mudah,lemari arsip
bucket,"umum, noun",ˈbə-kət,"Kapal silindris yang biasanya untuk menangkap, menahan, atau membawa cairan atau padatan",keranjang
bottle opener,"umum, noun",bottle opener,Alat yang digunakan untuk menghilangkan puncak logam dari beberapa botol,pembuka botol
scrub brush,"umum, noun",scrub brush,Sikat dengan bulu keras untuk pembersihan berat - disebut juga menggosok sikat,sikat
clothespin,"umum, noun",ˈklōz-ˌpin,Sepotong kayu atau plastik yang bercabang atau penjepit pegas kecil yang digunakan untuk mengikat pakaian di atas jemuran,clothespin
pillow,"umum, noun",ˈpi-(ˌ)lō,"Dukungan untuk kepala orang yang berbaring;khususnya: satu yang terdiri dari tas kain yang diisi dengan bulu, ke bawah, karet spons, atau serat plastik",bantal
rug,"umum, noun",ˈrəg,Jubah pangkuan,karpet
bath mat,"umum, noun",bath mat,Tikar yang biasanya dapat dicuci digunakan di kamar mandi,keset kamar mandi
cup,"umum, noun",ˈkəp,Kapal minum berbentuk mangkuk biasanya,cangkir
measuring cup,"umum, noun",measuring cup,Cangkir yang memiliki tanda untuk mengukur bahan saat memasak;juga: cangkir yang memegang sejumlah bahan yang digunakan dalam memasak,gelas pengukur
conditioner,"umum, noun",kən-ˈdi-sh(ə-)nər,Sesuatu yang kondisinya;khususnya: persiapan yang digunakan untuk meningkatkan kondisi rambut,kondisioner
space heater,"umum, noun",space heater,Alat yang biasanya portabel untuk memanaskan area yang relatif kecil,pemanas ruangan
bed,"umum, noun",ˈbed,Sepotong furnitur di atau di mana berbohong dan tidur,tempat tidur
ottoman,"umum, noun",ˈä-tə-mən,Seorang anggota dinasti turki yang didirikan oleh osman i yang memerintah kekaisaran ottoman,ottoman
blender,"umum, noun",ˈblen-dər,Salah satu yang menyatu;terutama: alat listrik untuk menggiling atau pencampuran,blender
paring knife,"umum, noun",paring knife,Pisau berbilah pendek kecil (seperti untuk mengupas buah),pisau kecil pengupas buah atau sayur
coffee table,"umum, adjective",ˈkȯ-fē-ˌtā-bəl,"Dari, berkaitan dengan, atau menjadi artikel (seperti buku atau majalah) yang dimaksudkan untuk ditampilkan (seperti di meja kopi)",meja kopi
can opener,"umum, noun",can opener,Perangkat yang digunakan di dapur untuk membuka kaleng makanan,pembuka kaleng
frying pan,"umum, noun",frying pan,Panci logam dengan pegangan yang digunakan untuk menggoreng makanan - juga digoreng wajan,penggorengan
peeler,"umum, noun",ˈpē-lər,Salah satu yang mengelupas,alat pengupas
spoon,"umum, noun",ˈspün,Implement makan atau memasak yang terdiri dari mangkuk dangkal kecil dengan pegangan yang relatif panjang,sendok
blanket,"umum, noun",ˈblaŋ-kət,Sepotong kain tenun yang besar biasanya digunakan sebagai penutup tempat tidur,selimut
light bulbs,"umum, noun",light bulb,Lampu listrik: seperti,bola lampu
teapot,"umum, noun",ˈtē-ˌpät,Kapal dengan cerat dan pegangan di mana teh diseduh dan dari mana disajikan,teko
curtains,"umum, noun",ˈkər-tᵊn,Layar gantung yang biasanya mampu ditarik ke belakang atau ke atas;khususnya: gorden jendela,tirai
broom,"umum, noun",ˈbrüm,"Salah satu dari berbagai semak pudi (terutama genera sittisus dan genista) dengan cabang ramping panjang, daun kecil, dan biasanya bunga kuning yang mencolok;terutama: sapu scotch",sapu
side table,"umum, noun",side table,Meja yang dirancang untuk diletakkan di dinding,meja samping
humidifier,"umum, noun",hyü-ˈmi-də-ˌfī(-ə)r,Perangkat untuk memasok atau menjaga kelembaban,pelembab
dehumidifier,"umum, verb",ˌdē-(h)yü-ˈmi-də-ˌfī,Untuk menghilangkan kelembaban dari,dehumidifier
fire extinguisher,"umum, noun",fire extinguisher,Peralatan portabel atau beroda untuk memadamkan api kecil dengan mengeluarkan bahan kimia pemadam,alat pemadam api
luggage,"umum, noun",ˈlə-gij,Sesuatu yang diwariskan;terutama: koper untuk barang -barang pelancong: bagasi,bagasi
plate,"umum, noun",ˈplāt,Sepotong bahan tipis tipis yang halus,piring
mop,"umum, noun",ˈmäp,Implement yang terbuat dari bahan penyerap yang diikat ke pegangan dan digunakan terutama untuk membersihkan lantai,mengepel
mixer,"umum, noun",ˈmik-sər,Satu yang bercampur: seperti,pengaduk
stove,"umum, noun",ˈstōv,Peralatan portabel atau tetap yang membakar bahan bakar atau menggunakan listrik untuk menyediakan panas (seperti untuk memasak atau pemanasan),kompor
fabric softener,"umum, noun",fabric softener,Produk yang digunakan untuk membuat kain yang dicuci lebih lembut dan lebih halus,pelembut kain
baskets,"umum, noun",ˈba-skit,Wadah yang terbuat dari bahan jalinan (seperti osiers),keranjang
shampoo,"umum, verb",sham-ˈpü,Pijat,sampo
bowl,"umum, noun",ˈbōl,Cekung yang biasanya hampir hampir hemisfer bejana: wadah bulat yang biasanya lebih besar dari cangkir;secara khusus: kapal minum (seperti untuk anggur),mangkuk
wardrobe,"umum, noun",ˈwȯr-ˌdrōb,Koleksi pakaian mengenakan (seperti satu orang atau untuk satu kegiatan),pakaian
coat rack,"umum, noun",ˈkōt-ˌrak,"Tahan atau rak dilengkapi dengan pasak, kait, atau gantungan dan digunakan untuk penyimpanan pakaian sementara",rak mantel
ironing board,"umum, noun",ironing board,Permukaan berlapis kain empuk datar di mana pakaian disetrika,papan setrika
towel,"umum, noun",ˈtau̇(-ə)l,Kain atau kertas penyerap untuk menyeka atau pengeringan,handuk
toilet paper,"umum, noun",toilet paper,Kertas penyerap saniter tipis biasanya dalam gulungan untuk digunakan dalam pengeringan atau membersihkan diri setelah buang air besar dan buang air kecil,tisu toilet
expire,verb,ik-ˈspī(-ə)r,Untuk menghirup napas terakhirnya: mati,berakhir
tri,combining form,tri-,Tiga: memiliki tiga elemen atau bagian,tri
unobstructed,adjective,ˌən-əb-ˈstrək-təd,Jelas atau bebas dari penghalang atau hambatan: tidak terhalang,tidak terhalang
bionomics,noun,ˌbī-ə-ˈnä-miks,Ekologi,bionomik
mirthful,noun,ˈmərth,Kegembiraan atau keriangan seperti yang ditunjukkan atau disertai tawa,riang
fireant,noun,fire ant,Salah satu genus (solenopsis) dari semut omnivora yang sengit;terutama: semut api impor,semut api
appro,abbreviation,appro,Persetujuan,akurnya
nelle,biographical name,lee,(nelle) harper 1926—2016 novelis amerika,nelle
flaked,verb,flake,Untuk menutupi atau seolah -olah dengan serpihan,flaked
ladys,noun,ladies' man,Seorang pria yang menunjukkan kesukaan yang ditandai untuk ditemani wanita atau sangat memperhatikan wanita,ladys
prostrating,verb,ˈprä-ˌstrāt,Untuk melempar atau dimasukkan ke posisi sujud,bersujud
darwinism,noun,ˈdär-wə-ˌni-zəm,"Teori asal dan pengabaian spesies baru hewan dan tumbuhan yang keturunan organisme yang diberikan bervariasi, bahwa seleksi alam mendukung kelangsungan hidup beberapa variasi ini atas yang lain, bahwa spesies baru telah muncul dan dapat terus muncul oleh proses ini,dan kelompok tanaman dan hewan yang sangat berbeda telah muncul dari leluhur yang sama",darwinisme
tutuila,geographical name,ˌtü-tü-ˈwē-lä,Pulau kepala area kelompok samoa amerika 52 mil persegi (135 kilometer persegi),tutuila
tycho,biographical name,ˈbrä,Tycho 1546—1601 astronom denmark,tycho
headin,adjective,ˈhed-in-ṯẖə-ˈsand,Tidak mau mengenali atau mengakui masalah atau situasi,headin
letts,noun,ˈlet,Latvia,letts
interferometry,noun,ˌin-tər-fə-ˈrä-mə-tər,Peralatan yang memanfaatkan gangguan gelombang (seperti cahaya) untuk penentuan yang tepat (seperti jarak atau panjang gelombang),interferometri
brawling,verb,ˈbrȯl,Bertengkar atau bertarung dengan berisik: bertengkar,brawling
embedment,verb,im-ˈbed,Untuk melampirkan erat atau seolah -olah dalam matriks,embedment
repackaging,verb,(ˌ)rē-ˈpa-kij,Untuk mengemas lagi atau lebih baru;khususnya: untuk dimasukkan ke dalam bentuk yang lebih efisien atau menarik,mengemas kembali
locknuts,noun,ˈläk-ˌnət,Mur kacau keras pada yang lain untuk mencegahnya mengendur punggung,kunci kunci
redemptorist,noun,ri-ˈdem(p)-t(ə-)rist,"Seorang anggota kongregasi penebus suci yang didirikan oleh st. alphonsus liguori di scala, italia, pada 1732 dan dikhususkan untuk berkhotbah",redemptorist
procurements,noun,prə-ˈkyu̇r-mənt,Tindakan atau proses pengadaan;terutama: memperoleh pasokan militer oleh pemerintah,pengadaan
thinners,noun,ˈthi-nər,Salah satu yang menipis;khususnya: cairan yang mudah menguap (seperti terpentin) yang digunakan terutama untuk cat tipis,pengencer
immunocytochemistry,noun,ˌi-myə-nō-ˌsī-tō-ˈke-mə-strē,Penerapan biokimia untuk imunologi seluler,imunositokimia
unruly,adjective,ˌən-ˈrü-lē,"Tidak mudah diperintah, disiplin, atau dikelola",tegar
cloaking,verb,cloak,Untuk menutup atau bersembunyi dengan atau seolah -olah dengan jubah,cloaking
ghats,noun,ˈgȯt,Penerbangan besar langkah -langkah yang terletak di tepi sungai india dan yang menyediakan akses ke air terutama untuk mandi,ghats
perth,geographical name,ˈpərth,"Kota di sungai swan di australia barat daya yang merupakan ibu kota negara bagian australia barat, populasi 1.728.867",perth
papillon,noun,ˌpä-pē-ˈyōⁿ,Salah satu jenis keliling mainan ramping di eropa yang memiliki telinga yang sangat ereksi besar,papillon
poblano,noun,pō-ˈblä-nō,Lada cabai berbentuk hati yang besar biasanya ringan terutama saat segar dan hijau gelap,poblano
schnitzler,biographical name,ˈshnits-lər,Arthur 1862—1931 dramatis dan novelis austria,schnitzler
presidio,noun,pri-ˈsē-dē-ˌō,Tempat garnisun;khususnya: pos militer atau pemukiman benteng di daerah yang saat ini atau awalnya di bawah kendali spanyol,benteng
anlagen,noun,ˈän-ˌlä-gə,Fondasi perkembangan selanjutnya;terutama: primordium,anlagen
telos,noun,ˈte-ˌläs,Akhir akhir,telos
alajuela,geographical name,ˌä-lä-ˈhwā-lä,Town west san josé di populasi kosta rika pusat 163.000,alauela
vacantly,adjective,ˈvā-kənt,"Tidak ditempati oleh petahana, pemilik, atau petugas",kosong
supervene,verb,ˌsü-pər-ˈvēn,"Untuk mengikuti atau menghasilkan sebagai tambahan, adventif, atau pengembangan yang tidak terduga",datang setelah
radiochemical,noun,ˌrā-dē-ō-ˈke-mə-strē,Cabang kimia berurusan dengan zat radioaktif dan fenomena termasuk studi pelacak,radiekimia
reactivate,verb,(ˌ)rē-ˈak-tə-ˌvāt,Untuk mengaktifkan (sesuatu atau seseorang) lagi: seperti,mengaktifkan kembali
sp,abbreviation,sp,Spesial,sp
throwout,verb,throw out,"Untuk menghapus dari suatu tempat, kantor, atau pekerjaan biasanya dengan cara yang tiba -tiba atau tidak terduga",lempar
ducks,noun,ˈdək,"Salah satu dari berbagai burung renang (keluarga anatidae, keluarga bebek) di mana leher dan kaki pendek, kaki biasanya berselaput, tagihannya seringkali luas dan datar, dan jenis kelamin biasanya berbeda satu sama lain dalam bulu -bulu - sering digunakan secara kiasan dalam frasa secara kiasanseperti memiliki bebek seseorang berturut -turut, berikan bebek seseorang berturut -turut, atau meletakkan bebek seseorang berturut -turut untuk menggambarkan menjadi atau menjadi siap atau terorganisir secara menyeluruh",bebek
sartre,biographical name,ˈsärtrᵊ,"Jean-paul 1905—1980 filsuf, drama, dan novelis prancis",sartre
cricketer,verb,cricket,Untuk memainkan permainan kriket,pemain kriket
brake,noun,ˈbrāk,Perangkat untuk menangkap atau mencegah gerakan mekanisme biasanya dengan menggunakan gesekan,rem
doughnuts,noun,ˈdō-(ˌ)nət,Sepotong adonan goreng manis yang biasanya berbentuk cincin,donat
straps,noun,ˈstrap,"Strip atau thong sempit yang biasanya datar dari bahan yang fleksibel dan terutama kulit yang digunakan untuk mengamankan, menyatukan, atau membungkus",tali
ursuline,noun,ˈər-sə-lən,"Anggota dari beberapa dari beberapa perintah pengajaran katolik roma;khususnya: anggota ordo pengajaran yang didirikan oleh st angela merici di brescia, italia, pada 1535",ursuline
humoral,adjective,ˈhyü-mə-rəl,"Dari, berkaitan dengan, melanjutkan dari, atau melibatkan humor tubuh (seperti hormon)",humoral
vocalizing,verb,ˈvō-kə-ˌlīz,Untuk memberikan suara kepada: mengucapkan;khususnya: bernyanyi,vokalisasi
westphalia,geographical name,west-ˈfāl-yə,Wilayah jerman barat yang berbatasan di belanda di sebelah timur sungai rhine,westphalia
iroko,noun,ə-ˈrō-(ˌ)kō,Sebuah pohon tropis besar afrika barat (chlorophora excelsa) dari keluarga mulberry yang memiliki kayu tahan serangga yang kuat yang sering digunakan sebagai pengganti jati;juga: kayu ini,iroko
thrus,noun,drive-through,Pendirian drive-through (seperti restoran atau bank);juga: jendela drive-through di tempat pembentukan seperti itu,seriawan
unannounced,adjective,ˌən-ə-ˈnau̇n(t)st,Terjadi tanpa pengumuman atau peringatan sebelumnya: tidak diumumkan,tanpa pemberitahuan
maywood,geographical name,ˈmā-ˌwu̇d,Kota di barat daya california tenggara downtown los angeles populasi 27.395,maywood
black,adjective,ˈblak,Memiliki warna yang sangat gelap dari langit malam atau pupil mata: warna hitam,hitam
catchphrases,noun,ˈkach-ˌfrāz,"Kata atau ekspresi yang digunakan berulang kali dan nyaman untuk mewakili atau mengkarakterisasi seseorang, kelompok, ide, atau sudut pandang",slogan
pillowed,verb,pillow,Untuk beristirahat atau berbaring atau seolah -olah di atas bantal,brockowed
alai,geographical name,ˈä-ˌlī,Gunung di kyrgyzstan barat daya;puncak tertinggi 19.554 kaki (5960 meter),alai
calcitonin,noun,ˌkal-sə-ˈtō-nən,Hormon polipeptida terutama dari kelenjar tiroid yang menurunkan kadar kalsium dalam plasma darah - juga dihalangi tirokalsitonin,kalsitonin
mutilate,verb,ˈmyü-tə-ˌlāt,Untuk memotong atau mengubah secara radikal sehingga membuat tidak sempurna,memuntungkan
revitalizes,verb,(ˌ)rē-ˈvī-tə-ˌlīz,Untuk memberikan kehidupan atau semangat baru,merevitalisasi
soaps,verb,soap,Untuk menggosok sabun di atas atau ke dalam,sabun
smoothie,noun,ˈsmü-t͟hē,"Minuman krim yang terbuat dari buah dicampur dengan jus, susu, atau yogurt",smoothie
redwing,noun,ˈred-ˌwiŋ,A thrush eropa (turdus iliacus sinonim t. musicus) yang memiliki bagian bawah yang merah,sayap merah
telo,combining form,tel-,Akhir,telo
forked,adjective,ˈfȯrkt,Menyerupai garpu terutama dalam satu ujung dibagi menjadi dua atau lebih cabang atau poin,bercabang dua
excitability,adjective,ik-ˈsī-tə-bəl,Mampu dengan mudah dibangunkan ke dalam tindakan atau keadaan kegembiraan atau mudah tersinggung,sifat dpt dirangsang
huac,abbreviation,huac,House un-american activity committee,huac
polar,adjective,ˈpō-lər,Atau berkaitan dengan tiang geografis atau wilayah di sekitarnya,kutub
dyne,noun,ˈdīn,Unit gaya dalam sistem detik-gram sentimeter sama dengan gaya yang akan memberikan massa bebas satu gram percepatan satu sentimeter per detik per detik,dyne
macbeth,noun,mək-ˈbeth,Seorang jenderal skotlandia yang merupakan protagonis dari tragedi shakespeare macbeth,macbeth
institutes,noun,ˈin(t)-stə-ˌtüt,Sesuatu yang dilembagakan: seperti,lembaga
epistemology,noun,i-ˌpi-stə-ˈmä-lə-jē,Studi atau teori sifat dan dasar pengetahuan terutama dengan mengacu pada batas dan validitasnya,epistemologi
heavyhands,idiom,heavy on one's hands,—d) untuk mengatakan bahwa waktu berlalu sangat lambat,tanah berat
shamus,noun,ˈshä-məs,Polisi,polisi
parklands,noun,ˈpärk-ˌland,Mendarat dengan gumpalan pohon dan semak dalam kondisi budidaya digunakan sebagai atau cocok untuk digunakan sebagai taman,parklands
stigmata,noun,ˈstig-mə,Satu set keyakinan negatif dan tidak adil yang dimiliki masyarakat atau sekelompok orang tentang sesuatu,stigmata
bowman,noun,ˈbō-mən,Pemanah,pemanah
adenauer,biographical name,ˈa-də-ˌnau̇(-ə)r,Konrad 1876—1967 kanselir jerman barat (1949-63),adenauer
wig,noun,ˈwig,Penutup rambut alami atau sintetis yang diproduksi untuk kepala,teguran
convergence,noun,kən-ˈvər-jən(t)s,Tindakan konvergen dan terutama bergerak menuju persatuan atau keseragaman;khususnya: gerakan terkoordinasi dari kedua mata sehingga gambar satu titik terbentuk pada area retina yang sesuai,konvergensi
zoos,noun,ˈzü,"Sebuah fasilitas dengan pengaturan yang biasanya dalam dan luar ruangan di mana hidup, biasanya hewan liar disimpan terutama untuk pameran publik - juga dituliskan kebun zoologi, taman zoologi",kebun binatang
bkg,abbreviation,bkg,Perbankan,bkg
dissed,verb,ˈdis,Untuk memperlakukan dengan tidak hormat atau penghinaan: menghina,dised
nonparticipation,noun,ˌnän-(ˌ)pär-ˌti-sə-ˈpā-shən,Ketidakhadiran atau kurangnya partisipasi,non -partisipasi
banda,geographical name,ˈban-də,Pulau indonesia di maluku selatan area pulau ceram 16 mil persegi (42 kilometer persegi),banda
oolong,noun,ˈü-ˌlȯŋ,Teh terbuat dari daun yang sebagian teroksidasi sebelum ditembakkan,oolong
dedo,noun,ˌh(w)üp-dē-ˈdü,Kegiatan yang berisik dan bersemangat atau menarik perhatian (seperti pada urusan sosial atau dalam kampanye politik),dedo
toenails,verb,toenail,Untuk mengikat dengan kuku yang bertugas: kaki,kuku jari kaki
nets,noun,ˈnet,"Kain yang dipelintir, diikat, atau ditenun bersama secara berkala secara berkala",jaring
conduits,noun,ˈkän-ˌdü-ət,Saluran alami atau buatan yang melaluinya sesuatu (seperti cairan) disampaikan,saluran
flushes,verb,ˈfləsh,Untuk terbang tiba -tiba,flushes
atlantean,adjective,ˌat-ˌlan-ˈtē-ən,"Dari, berkaitan dengan, atau menyerupai atlas: kuat",atlantis
lilliput,noun,ˈli-li-(ˌ)pət,Sebuah pulau di swift's gulliver's travels di mana penduduknya setinggi enam inci,lilliput
superman,noun,ˈsü-pər-ˌman,Seorang pria superior yang menurut nietzsche telah belajar untuk melupakan kesenangan singkat dan mencapai kebahagiaan dan dominasi melalui latihan kekuatan kreatif,superman
ascidian,noun,ə-ˈsi-dē-ən,Salah satu kelas (ascidiacea) dari soliter atau kolonial sessile tunicate yang memiliki siphon yang didorong dan sangat luar biasa - disebut juga menyemprotkan laut,ascidian
tattletale,noun,ˈta-tᵊl-ˌtāl,Seseorang (seperti anak kecil) yang menceritakan rahasia tentang apa yang telah dilakukan orang lain: orang yang mengetok: informan,pengadu
mons,geographical name,ˈmōⁿs,Komune di wilayah wallonia populasi belgia barat daya 94.500,mons
gamble,verb,ˈgam-bəl,Untuk memainkan permainan untuk uang atau properti,berjudi
owns,verb,own,Untuk memiliki atau memegang sebagai properti: memiliki,memiliki
consigned,verb,kən-ˈsīn,Untuk menyerah pada perawatan orang lain,diberikan
unworthily,adjective,ˌən-ˈwər-t͟hē,"Kurang dalam keunggulan atau nilai: buruk, tidak berharga",secara tidak layak
rulings,noun,ˈrü-liŋ,"Keputusan, keputusan, pernyataan, atau interpretasi resmi atau otoritatif (seperti oleh hakim pada titik hukum)",putusan
registering,verb,register,Untuk membuat atau mengamankan entri resmi dalam register,mendaftar
haversack,noun,ˈha-vər-ˌsak,Tas mirip dengan ransel tapi dikenakan di atas satu bahu,rangsel
pharr,geographical name,ˈfär,Kota di texas selatan timur populasi mcallen 70.400,pharr
linoleum,noun,lə-ˈnō-lē-əm,"Penutup lantai yang dibuat dengan meletakkan goni atau kanvas yang mendukung campuran minyak biji rami yang dipadatkan dengan gusi, debu gabus atau tepung kayu atau keduanya, dan biasanya pigmen",linolium
wise,adjective,ˈwīz,"Ditandai oleh kebijaksanaan: ditandai dengan pemahaman yang mendalam, penegasan yang tajam, dan kapasitas untuk penilaian yang baik",bijak
proximately,adjective,ˈpräk-sə-mət,"Segera sebelum atau mengikuti (seperti dalam rangkaian peristiwa, penyebab, atau efek)",tepatnya
girds,verb,gird,Mencibir: mengejek,girds
